product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Croustillant Chocolat,Carrefour BIO,c,France,15.0,8.7,0.0,4.4,449.0
Wheat Bisks,Harvest Morn,a,Ireland,4.4,10.0,0.28,0.6,358.0
Bran Flakes,Crownfield,b,Bélgica,13.2,17.2,0.63,0.5,362.0
Céréales Muesli croustillant aux 4 noix paquet de 500g,U,c,Frankrijk,14.0,6.5,0.48,2.9,478.0
Croustillant fruits rouges,Carrefour BIO,c,Belgium,19.0,9.2,0.01,1.4,426.0
Muesli crunchy frutos secos,Hacendado,d,Spain,22.0,6.0,0.5,2.0,458.0
Muesli crunchy,Maison Pâtissière,d,France,22.0,6.4,0.14,5.5,457.0
Special Flakes Red Berries,Crownfield,b,Belgique,11.5,6.5,0.37,0.7,382.0
Corn Flakes,Kellogg's,d,Cyprus,8.0,3.0,1.1,0.2,378.0
Muesli croustillant Noix et Miel,Crownfield,c,Frankrijk,,,,,470.0
Cereales rellenos de leche,Hacendado,e,Spain,37.0,3.3,0.78,6.5,447.0
Grainéa granola noix,Grainéa,a,France,8.4,8.9,0.02,2.3,486.666666666667
Muesli croustillant tout chocolat,Marque Repère,unknown,France,20.0,8.7,,6.0,444.0
weetabix,Weetabix,a,France,4.10256,9.74359,0.25,0.51282,332.5
Muesli croustillant fruits rouges,Terres et Céréales,c,France,20.0,8.9,0.06,3.1,437.0
Corn flakes,Carrefour BIO,c,Belgium,2.0,2.7,0.45,0.2,384.0
Muesli Recipe,Alpen,b,United Kingdom,18.0,8.0,0.28,0.9,368.888888888889
Muesli fruits,Carrefour BIO,a,Belgium,13.0,9.9,0.02,1.0,366.0
Kellogg's Tresor,Kellogg's,e,France,26.0,3.5,1.1,3.5,437.0
Barre Chocolat Banane,Break & Boost,d,en:france,30.0,3.4,0.275,5.4,406.0
Flocons d'avoine complets,Terres & Céréales Bio,a,France,1.0,10.0,0.01,1.3,371.0
Country Crisp chocolat au lait,Jordans,d,France,24.4444444444444,5.11111111111111,0.0444444444444444,4.22222222222222,448.888888888889
special k fibre,Special K,c,Italy,18.0,13.0,0.64,1.0,393.333333333333
